Provincia,Codice,Tipologia,Denominazione,Indirizzo,Civico,Localita,Cod. comune,Comune,CAP,Distr.,Telefono,Caratteristica scuola,Sede direttivo,Codice sede riferimento,Codice sede di direttivo,Denominazione sede direttivo,Indirizzo sede di direttivo,Cod. comune sede dir.,Comune sede di direttivo,CAP sede dir.,Distr. sede dir.,Classificazione Autonomia,Organico Autonomia,Organico Sede,Num. Sedi Autonomia,Macrotipologia Autonomia,Tipologia Autonomia,Tipologia Sede,S-Comune montano,Telefono Sede Autonomia,Fax Sede Autonomia,Fax Sede Autonomia_1,Indirizzo E-Mail Autonomia,Indirizzo E-Mail sede corsi,Indirizzo PEC Autonomia,Indirizzo PEC sede corsi,Codice_ISTAT_comune_SEDE,coorY,coorX,location
MI,MITD04301Q,Istituto Istruzione Secondario Secondo grado,I. T. Economico - Besta,Via Don Calabria,16,-,F205,MILANO,20132,085,022563073,Ordinaria,SI,MIIS04300D,MIIS04300D,F. Besta,"Via Don Calabria, 16",F205,MILANO,20132,085,Statale,973,421,2,Secondo ciclo,Istituto di Istruzione Superiore,Istituto Tecnico,Non montano,022563073,022592132,022592132,miis04300d@istruzione.it,fbesta@fbesta.it,miis04300d@pec.istruzione.it,miis04300d@pec.istruzione.it,15146,45.49961045,9.24209995,"(45.49961045, 9.24209995)"
MI,MIAA8AR03B,Scuola dell'Infanzia,Infanzia - via Giovanni XXIII - 1,Via Giovanni XXIII,,,C707,CINISELLO BALSAMO,20092,065,,Ordinaria,NO,MIIC8AR001,MIIC8AR001,G. Garibaldi,"Via Marconi, 46",C707,CINISELLO BALSAMO,20092,065,Statale,1260,71,7,Primo ciclo,Istituto Comprensivo,,Non montano,0261294190,026184181,,miic8ar001@istruzione.it,,miic8ar001@pec.istruzione.it,miaa36601e@pec.istruzione.it,15077,45.5544829,9.20950096,"(45.5544829, 9.20950096)"
MI,MIAA8FL01B,Scuola dell'Infanzia,Infanzia - via Sturzo,Via Sturzo,,,D018,CORNAREDO,20010,067,,Ordinaria,NO,MIIC8FL00E,MIIC8FL00E,"IC di Cornaredo, Via IV Novembre","Via IV Novembre, 3",D018,CORNAREDO,20010,067,Statale,1103,120,5,Primo ciclo,Istituto Comprensivo,,Non montano,0293560262,0293566907,,miee11700q@istruzione.it,,,miee11700q@pec.istruzione.it,15087,45.49132181,9.0302794,"(45.49132181, 9.0302794)"
MI,MITD02102X-LU,Istituto Istruzione Secondario Secondo grado,L. Scienze Umane - V. Benini,Viale Predabissi,3,-,F100,MELEGNANO,20077,057,029836225,Ordinaria,SI,MIIS02100L,MIIS02100L,V. Benini,"Viale Predabissi, 3",F100,MELEGNANO,20077,057,Statale,745,0,3,Secondo ciclo,Istituto di Istruzione Superiore,Liceo,Non montano,029836225,029835903,,miis02100l@istruzione.it,,miis02100l@pec.istruzione.it,miis02100l@pec.istruzione.it,15140,45.35672003,9.32307078,"(45.35672003, 9.32307078)"
MI,MIPM050003-LL,Istituto Istruzione Secondario Secondo grado,L. Linguistico - Virgilio,Piazza Ascoli,2,MILANO,F205,MILANO,20129,076,02713738,Ordinaria,SI,MIPM050003,MIPM050003,Virgilio,"Piazza Ascoli, 2",F205,MILANO,20129,076,Statale,1996,0,1,Secondo ciclo,Liceo,Liceo,Non montano,027382515,0270108734,,mipm050003@istruzione.it,,mipm050003@pec.istruzione.it,mipm050003@pec.istruzione.it,15146,45.47303408,9.21750026,"(45.47303408, 9.21750026)"
MI,MIMM8FA01X,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - De Gasperi,Via Agadir,8,,H827,SAN DONATO MILANESE,20097,057,,Ordinaria,NO,MIIC8FA00V,MIIC8FA00V,"IC di San Donato Milanese, Via LibertÃ ","Via LibertÃ , 24",H827,SAN DONATO MILANESE,20097,057,Statale,1212,528,4,Primo ciclo,Istituto Comprensivo,,Non montano,025272024,025272024,025279085,wliberta@tin.it,,,mimm688005-01@pec.istruzione.it,15192,45.42219395,9.26877015,"(45.42219395, 9.26877015)"
MI,MIAA8B503P,Scuola dell'Infanzia,Infanzia - Teresina Riva,Via Quasimodo,,TRUCCAZZANO,L454,TRUCCAZZANO,20060,059,0295309200,Ordinaria,NO,MIIC8B500Q,MIIC8B500Q,Alessandro Manzoni,"Piazza Pietro Nenni,",G965,POZZUOLO MARTESANA,20060,059,Statale,1397,102,10,Primo ciclo,Istituto Comprensivo,,Non montano,0295359750,0295358674,,miic8b500q@istruzione.it,,miic8b500q@pec.istruzione.it,miic8b500q@pec.istruzione.it,15224,45.48446883,9.47155273,"(45.48446883, 9.47155273)"
MI,MIEE8CX011,Istituto Istruzione Primario,Primaria - F. Filzi,Via Ravenna,15,-,F205,MILANO,20139,087,025397050,Ordinaria,SI,MIIC8CX00V,MIIC8CX00V,Filzi,"Via Ravenna, 15",F205,MILANO,20141,087,Statale,1030,236,3,Primo ciclo,Istituto Comprensivo,,Non montano,0288448665,0257303040,0257303040,miic8cx00v@istruzione.it,ravendir@tin.it,miic8cx00v@pec.istruzione.it,miic8cx00v@pec.istruzione.it,15146,45.43414533,9.22092702,"(45.43414533, 9.22092702)"
MI,MITD003019,Istituto Istruzione Secondario Secondo grado,I. T. Economico - Bachelet Gia I. T. Economico - Bachelet,Via Stignani,63  65,ABBIATEGRASSO,A010,ABBIATEGRASSO,20081,072,00029464236,Ordinaria,NO,MIIS003003,MIIS003003,V. Bachelet,"Via Stignani, 63-65",A010,ABBIATEGRASSO,20081,072,Statale,1067,362,3,Secondo ciclo,Istituto di Istruzione Superiore,Istituto Tecnico,Non montano,029464236,0294960073,,miis003003@istruzione.it,,miis003003@pec.istruzione.it,miis003003@pec.istruzione.it,15002,45.3922853,8.9099304,"(45.3922853, 8.9099304)"
MI,MIAA8B002E,Scuola dell'Infanzia,Infanzia - via Curiel,Via Curiel,,VIMODRONE,M053,VIMODRONE,20090,058,022502213,Ordinaria,NO,MIIC8B000L,MIIC8B000L,IC di Vimodrone,"Via Piave, 62",M053,VIMODRONE,20090,058,Statale,1472,79,7,Primo ciclo,Istituto Comprensivo,,Non montano,0227401207,022501242,,miic8b000l@istruzione.it,,miic8b000l@pec.istruzione.it,miic8b000l@pec.istruzione.it,15242,45.50935025,9.28045969,"(45.50935025, 9.28045969)"
MI,MIMM8C401G,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - M. Ricci,Via Lovere,4,MILANO,F205,MILANO,20148,092,0239264426,Ordinaria,NO,MIIC8C400E,MIIC8C400E,Cadorna,"Via Carlo Dolci, 5",F205,MILANO,20148,092,Statale,1049,311,4,Primo ciclo,Istituto Comprensivo,,Non montano,024047233,0248701589,,miic8c400e@istruzione.it,,miic8c400e@pec.istruzione.it,miic8c400e@pec.istruzione.it,15146,45.48433702,9.13843379,"(45.48433702, 9.13843379)"
MI,MIMM8C7013,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - B. Marcello,Via Benjamin Constant,19,LOC. QUARTO CAGNINO,F205,MILANO,20153,091,0248203469,Ordinaria,NO,MIIC8C7002,MIIC8C7002,Manara,"Via Lamennais, 20",F205,MILANO,20153,091,Statale,924,249,7,Primo ciclo,Istituto Comprensivo,,Non montano,0288444540,0240915002,,miic8c7002@istruzione.it,,miic8c7002@pec.istruzione.it,miic8c7002@pec.istruzione.it,15146,45.47252721,9.11468312,"(45.47252721, 9.11468312)"
MI,MIMM8AP01A,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Giuliani,Via Cadorna,,CINISELLO BALSAMO (MI),C707,CINISELLO BALSAMO,20092,065,0266047253,Ordinaria,NO,MIIC8AP009,MIIC8AP009,Costa,"Piazza Costa, 23",C707,CINISELLO BALSAMO,20092,065,Statale,1268,474,4,Primo ciclo,Istituto Comprensivo,,Non montano,026121691,0266049300,,info@scuolecosta-cinisello.it,,miic8ap009@pec.istruzione.it,miic8ap009@pec.istruzione.it,15077,45.55272545,9.21740985,"(45.55272545, 9.21740985)"
MI,MIEE8BV02Q,Istituto Istruzione Primario,Primaria - S.D' Acquisto,Via Castellazzo,,RHO,H264,RHO,20017,067,029304875,Ordinaria,NO,MIIC8BV00L,MIIC8BV00L,Fabrizio De AndrÃÂ¨,"Via Deledda, 2",H264,RHO,20017,067,Statale,967,244,5,Primo ciclo,Istituto Comprensivo,,Non montano,029303862,0293181483,,miic8bv00l@istruzione.it,,miic8bv00l@pec.istruzione.it,miic8bv00l@pec.istruzione.it,15182,45.52873376,9.03227267,"(45.52873376, 9.03227267)"
MI,MIEE8AY01G,Istituto Istruzione Primario,Primaria - Giovanni XXIII,Viale Roma,,CUSANO MILANINO,D231,CUSANO MILANINO,20095,065,026196097,Ordinaria,NO,MIIC8AY00D,MIIC8AY00D,Giovanni XXIII,"Via Roma, 27",D231,CUSANO MILANINO,20095,065,Statale,994,282,5,Primo ciclo,Istituto Comprensivo,,Non montano,026196097,026132424,,miic8ay00d@istruzione.it,,miic8ay00d@pec.istruzione.it,miic8ay00d@pec.istruzione.it,15098,45.55873906,9.19067308,"(45.55873906, 9.19067308)"
MI,MIMM8BU014,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - A. Ronchetti,Via Garibaldi,55,POGLIANO MILANESE,G772,POGLIANO MILANESE,20010,067,029341968,Ordinaria,SI,MIIC8BU003,MIIC8BU003,Paolo Neglia,"Via Garibaldi, 55",G772,POGLIANO MILANESE,20010,067,Statale,1561,420,5,Primo ciclo,Istituto Comprensivo,,Non montano,029341968,0293549984,,miic8bu003@istruzione.it,,miic8bu003@pec.istruzione.it,miic8bu003@pec.istruzione.it,15176,45.53381665,8.99104204,"(45.53381665, 8.99104204)"
MI,MIAA8AR04C,Scuola dell'Infanzia,Infanzia - via Giovanni XXIII - 2,Via Giovanni XXIII,,,C707,CINISELLO BALSAMO,20092,065,,Ordinaria,NO,MIIC8AR001,MIIC8AR001,G. Garibaldi,"Via Marconi, 46",C707,CINISELLO BALSAMO,20092,065,Statale,1260,98,7,Primo ciclo,Istituto Comprensivo,,Non montano,0261294190,026184181,,miic8ar001@istruzione.it,,miic8ar001@pec.istruzione.it,miaa36602g@pec.istruzione.it,15077,45.5544829,9.20950096,"(45.5544829, 9.20950096)"
MI,MIEE8BF01N,Istituto Istruzione Primario,Primaria - via Mazzini,Via Mazzini,,GORGONZOLA,E094,GORGONZOLA,20064,058,029510448,Ordinaria,NO,MIIC8BF00G,MIIC8BF00G,"IC di Gorgonzola, Via Mazzini","Via Mazzini, 24",E094,GORGONZOLA,20064,058,Statale,983,483,3,Primo ciclo,Istituto Comprensivo,,Non montano,029513005,029513005,,miic8bf00g@istruzione.it,,miic8bf00g@pec.istruzione.it,miic8bf00g@pec.istruzione.it,15108,45.53238431,9.40205852,"(45.53238431, 9.40205852)"
MI,MIMM8C6017,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - via Gallarate,Via Gallarate,15,MILANO,F205,MILANO,20151,093,0239211108,Ordinaria,SI,MIIC8C6006,MIIC8C6006,IC Via Pareto,"Via Gallarate, 15",F205,MILANO,20151,093,Statale,779,398,4,Primo ciclo,Istituto Comprensivo,,Non montano,02 33007203,02 88444078,0288444078,miic8c6006@istruzione.it,miic8c6006@istruzione.it,miic8c6006@pec.istruzione.it,miic8c6006@pec.comprensivopareto.it,15146,45.49394885,9.14120837,"(45.49394885, 9.14120837)"
MI,MIAA8B3022,Scuola dell'Infanzia,Infanzia - Bettola,Via Milano,,FRAZ. BETTOLA,G955,POZZO D'ADDA,20060,059,0290960627,Ordinaria,NO,MIIC8B3004,MIIC8B3004,Diaz,"Viale della Vittoria, 11",L667,VAPRIO D'ADDA,20069,059,Statale,1341,151,7,Primo ciclo,Istituto Comprensivo,,Non montano,0290988252,0290970621,,miic8b3004@istruzione.it,,miic8b3004@pec.istruzione.it,miic8b3004@pec.istruzione.it,15177,45.56360874,9.49497789,"(45.56360874, 9.49497789)"
MI,MIRC01401C,Istituto Istruzione Secondario Secondo grado,I.P. Servizi -E. Alessandrini,Via Vivaldi,8,-,A010,ABBIATEGRASSO,20081,072,0294960197,Succursale,NO,MIIS01400D,MIIS01400D,E. Alessandrini,"Via Einaudi, 3",A010,ABBIATEGRASSO,20081,072,Statale,907,299,2,Secondo ciclo,Istituto di Istruzione Superiore,Istituto Professionale,Non montano,029466306,0294967188,,miis01400d@istruzione.it,,miis01400d@pec.istruzione.it,miis01400d@pec.istruzione.it,15002,45.40020027,8.92564241,"(45.40020027, 8.92564241)"
MI,MIAA8CB01Q,Scuola dell'Infanzia,Infanzia - via Giambologna,Via Giambologna,30,-,F205,MILANO,20136,078,,Ordinaria,NO,MIIC8CB00V,MIIC8CB00V,"IC di Milano, Barozzi","Via Bocconi, 17",F205,MILANO,20136,078,Statale,1298,112,4,Primo ciclo,Istituto Comprensivo,,Non montano,0288444234,,,miic8cb00v@istruzione.it,,miic8cb00v@pec.istruzione.it,miic8cb00v@pec.istruzione.it,15146,45.44573732,9.18466579,"(45.44573732, 9.18466579)"
MI,MIMM8FD01B-02,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - De Gasperi succursale,Via De Gasperi,1,,G686,PIOLTELLO,20096,058,,Succursale,NO,MIIC8FD00A,MIIC8FD00A,"IC di Pioltello, Via Bizet","Via Bizet, 1",G686,PIOLTELLO,20096,058,Statale,2004,0,6,Primo ciclo,Istituto Comprensivo,,Non montano,0292103740,0292103740,,mimm64800p@istruzione.it,,mimm64800p@pec.istruzione.it,mi206045drm@pec.istruzione.it,15175,45.50109369,9.32510109,"(45.50109369, 9.32510109)"
MI,MIAA8BP01R,Scuola dell'Infanzia,Infanzia - via Volta,Via Volta,,VIGNATE,L883,VIGNATE,20060,058,029566028,Ordinaria,NO,MIIC8BP00X,MIIC8BP00X,Galvani,"Via Galvani, 1",L883,VIGNATE,20060,058,Statale,906,195,3,Primo ciclo,Istituto Comprensivo,,Non montano,029566167,029566167,,miic8bp00x@istruzione.it,,miic8bp00x@pec.istruzione.it,miic8bp00x@pec.istruzione.it,15237,45.49662394,9.37459616,"(45.49662394, 9.37459616)"
MI,MISL01000C,Istituto Istruzione Secondario Secondo grado,L. Artistico -Brera,Via Hajech,27,MILANO,F205,MILANO,20129,084,02713443,Ordinaria,SI,MISL01000C,MISL01000C,Liceo Artistico Statale di Brera,"Via Hajech, 27",F205,MILANO,20129,084,Statale,1450,1450,2,Secondo ciclo,Istituto di Istruzione Superiore,Liceo,Non montano,02713443,0276110185,0276110185,misl01000c@istruzione.it,liceostatalehajech@virgilio.it,misl01000c@pec.istruzione.it,misl01000c@pec.istruzione.it,15146,45.46410259,9.21842644,"(45.46410259, 9.21842644)"
MI,MIMM8BW01D,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - San Felice,Strada Anulare,,SEGRATE SAN FELICE,I577,SEGRATE,20090,058,0270307008,Ordinaria,NO,MIIC8BW00C,MIIC8BW00C,Rosanna Galbusera,"Strada Anulare, 2a",I577,SEGRATE,20090,058,Statale,730,195,6,Primo ciclo,Istituto Comprensivo,,Non montano,0270307008,0270309677,0270309677,miic8bw00c@istruzione.it,comprensivosfelice@libero.it,miic8bw00c@pec.istruzione.it,miic8bw00c@pec.istruzione.it,15205,45.47359532,9.30478339,"(45.47359532, 9.30478339)"
MI,MIMM8CA025,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Einstein,Via Papa Giovanni XXIII,,BELLINZAGO LOMBARDO,A751,BELLINZAGO LOMBARDO,20060,059,0295780602,Ordinaria,NO,MIIC8CA003,MIIC8CA003,Via Leopardi,"Via Leopardi,",E317,INZAGO,20065,059,Statale,1465,131,8,Primo ciclo,Istituto Comprensivo,,Non montano,029549953,029549953,,miic8ca003@istruzione.it,,miic8ca003@pec.istruzione.it,miic8ca003@pec.istruzione.it,15016,45.54125714,9.44758802,"(45.54125714, 9.44758802)"
MI,MIEE8AV039,Istituto Istruzione Primario,Primaria - Bettolino,Via Orione,6,MEDIGLIA,F084,MEDIGLIA,20060,057,0290686575,Ordinaria,NO,MIIC8AV002,MIIC8AV002,Mediglia,"Viale Europa, 4",F084,MEDIGLIA,20060,057,Statale,1315,199,8,Primo ciclo,Istituto Comprensivo,,Non montano,0290662530,0290662546,,miic8av002@istruzione.it,,miic8av002@pec.istruzione.it,miic8av002@pec.istruzione.it,15139,45.43477386,9.34020801,"(45.43477386, 9.34020801)"
MI,MIEE8CR05C,Istituto Istruzione Primario,Primaria - Piazza Gasparri,Piazza Gasparri,6,MILANO,F205,MILANO,20161,081,0288446958,Ordinaria,SI,MIIC8CR006,MIIC8CR006,"IC di Milano, Piazza Gasparri","Piazza Gasparri, 6",F205,MILANO,20161,081,Statale,892,213,5,Primo ciclo,Istituto Comprensivo,,Non montano,0288446958,0266222780,0266222780,miic8cr006@istruzione.it,icsa@lombardiacom.it,miic8cr006@pec.istruzione.it,miic8cr006@pec.istruzione.it,15146,45.52604214,9.16195124,"(45.52604214, 9.16195124)"
MI,MIAA8BX03A,Scuola dell'Infanzia,Infanzia - Arcobaleno,Via Nenni,2,,I577,SEGRATE,20090,058,,Ordinaria,NO,MIIC8BX008,MIIC8BX008,Albert Schweitzer,"Via San Rocco, 4",I577,SEGRATE,20090,058,Statale,1573,135,6,Primo ciclo,Istituto Comprensivo,,Non montano,022133053,0226920966,,miic8bx008@istruzione.it,,miic8bx008@pec.istruzione.it,miaa362039@pec.istruzione.it,15205,45.49718375,9.28738254,"(45.49718375, 9.28738254)"
MI,MIAA8A902A,Scuola dell'Infanzia,Infanzia - XX Settembre,Via XX Settembre,,BARANZATE,A618,BARANZATE,20021,066,023566772,Ordinaria,NO,MIIC8A900C,MIIC8A900C,Gianni Rodari,"Via Aquileia, 1",A618,BARANZATE,20021,066,Statale,844,89,4,Primo ciclo,Istituto Comprensivo,,Non montano,023561839,023561839,,miic8a900c@istruzione.it,,miic8a900c@pec.istruzione.it,miic8a900c@pec.istruzione.it,15250,45.52513345,9.11802175,"(45.52513345, 9.11802175)"
MI,MIAA8FY01E,Scuola dell'Infanzia,Infanzia - via Soderini,Via Soderini,,,F205,MILANO,20146,,,Ordinaria,NO,MIIC8FY00N,MIIC8FY00N,"IC di Milano, Via Vespri Siciliani","Via Vespri Siciliani, 75",F205,MILANO,20146,,Statale,880,123,3,Primo ciclo,Istituto Comprensivo,,Non montano,,,,,,,miee03900q@pec.istruzione.it,15146,45.45783693,9.14696206,"(45.45783693, 9.14696206)"
MI,MIAA8CF013,Scuola dell'Infanzia,Infanzia - via Dora Baltea,Via Dora Baltea,24,MILANO,F205,MILANO,20161,081,0288446937,Ordinaria,NO,MIIC8CF006,MIIC8CF006,CantÃÂ¹,"Via dei Braschi, 12",F205,MILANO,20161,081,Statale,974,105,4,Primo ciclo,Istituto Comprensivo,,Non montano,0288446937,02 6468664,,miic8cf006@istruzione.it,,miic8cf006@pec.istruzione.it,miic8cf006@pec.istruzione.it,15146,45.52883146,9.16682786,"(45.52883146, 9.16682786)"
MI,MIMM8EK015,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Morante,Via Mafalda,127,,D912,GARBAGNATE MILANESE,20024,066,,Ordinaria,NO,MIIC8EK004,MIIC8EK004,Karol Woytla,"Largo Monsignore Gervasoni, 1",D912,GARBAGNATE MILANESE,20024,066,Statale,1329,427,6,Primo ciclo,Istituto Comprensivo,,Non montano,029955018,0299020185,,MIIC8EK004@istruzione.it,,MIIC8EK004@pec.istruzione.it,miic8ek004@pec.istruzione.it,15105,45.57901165,9.06868565,"(45.57901165, 9.06868565)"
MI,MIEE8FM01C,Istituto Istruzione Primario,Primaria - Cervi,Via F.Lli Cervi,,,H623,ROZZANO,20089,094,,Ordinaria,NO,MIIC8FM00A,MIIC8FM00A,"IC di Rozzano, Viale Liguria","Viale Liguria,",H623,ROZZANO,20089,094,Statale,1043,351,2,Primo ciclo,Istituto Comprensivo,,Non montano,0257501074,028255740,,segreteria@medialuinifalcone.it,,dirigente@pec.medialuinifalcone.it,miee180007@pec.istruzione.it,15189,45.37848906,9.14422939,"(45.37848906, 9.14422939)"
MI,MIMM8B8018,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado -   Tito Livio,Via Monte Velino,2,ZONA  PORTA ROMANA,F205,MILANO,20137,077,025513931,Ordinaria,NO,MIIC8B8007,MIIC8B8007,Tommaso Grossi,"Via Monte Velino, 2-4",F205,MILANO,20137,077,Statale,953,213,3,Primo ciclo,Istituto Comprensivo,,Non montano,0288444176,0288440185,,miic8b8007@istruzione.it,,miic8b8007@pec.istruzione.it,miic8b8007@pec.istruzione.it,15146,45.45298537,9.22431524,"(45.45298537, 9.22431524)"
MI,MIAA8ER01Q,Scuola dell'Infanzia,Infanzia - via Neruda,Via Pablo Neruda,,,I602,SENAGO,20030,066,,Ordinaria,NO,MIIC8ER00V,MIIC8ER00V,A. Manzoni,"Via Liberazione, 23",I602,SENAGO,20030,066,Statale,1111,65,5,Primo ciclo,Istituto Comprensivo,,Non montano,0299056808,0299056808,,miic8er00v@istruzione.it,,miic8er00v@pec.istruzione.it,miaa377022@pec.istruzione.it,15206,45.57582491,9.10251263,"(45.57582491, 9.10251263)"
MI,MIEE8D4017,Istituto Istruzione Primario,Primaria - Fermi,Via Carnia,32,MILANO,F205,MILANO,20132,085,0288444882,Ordinaria,NO,MIIC8D4005,MIIC8D4005,"IC di Milano, Via Maniago","Via Maniago, 30",F205,MILANO,20134,085,Statale,1201,292,3,Primo ciclo,Istituto Comprensivo,,Non montano,0288440293,0288440294,,miic8d4005@istruzione.it,,miic8d4005@pec.istruzione.it,miic8d4005@pec.istruzione.it,15146,45.4950736,9.23581653,"(45.4950736, 9.23581653)"
MI,MIPS290006,Istituto Istruzione Secondario Secondo grado,L. Scientifico - Cavalleri  LSU,Via Spagliardi,23,-,G324,PARABIAGO,20015,068,0331552206,Ordinaria,SI,MIPS290006,MIPS290006,C. Cavalleri,"Via Spagliardi, 23",G324,PARABIAGO,20015,068,Statale,704,486,2,Secondo ciclo,Liceo,Liceo,Non montano,0331552206,0331553843,0331553843,mips290006@istruzione.it,segreteriadidattica@liceocavalleri.it,mips290006@pec.istruzione.it,mips290006@pec.istruzione.it,15168,45.56022966,8.95136704,"(45.56022966, 8.95136704)"
MI,MIAA8AU019,Scuola dell'Infanzia,Infanzia - Rodari,Via M.L. King,,COLOGNO MONZESE,C895,COLOGNO MONZESE,20093,064,0227306099,Ordinaria,NO,MIIC8AU00C,MIIC8AU00C,IV - E. Montale,"Via Emilia, 1",C895,COLOGNO MONZESE,20093,064,Statale,1206,130,6,Primo ciclo,Istituto Comprensivo,,Non montano,0225396981,0227305912,,miic8au00c@istruzione.it,,miic8au00c@pec.istruzione.it,miic8au00c@pec.istruzione.it,15081,45.52244238,9.27702609,"(45.52244238, 9.27702609)"
MI,MIMM8BK01N,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - A.B.Sabin,Via F.Lli Cervi,,MILANO 2 - SEGRATE,I577,SEGRATE,20090,058,0226411330,Ordinaria,NO,MIIC8BK00L,MIIC8BK00L,A. B. Sabin,"Via Fratelli Cervi,",I577,SEGRATE,20090,058,Statale,1645,667,6,Primo ciclo,Istituto Comprensivo,,Non montano,0226411001,0226411336,022640691,MIIC8BK00L@istruzione.it,sabin1@freemail.it,miic8bk00l@pec.istruzione.it,miee36200b@pec.istruzione.it,15205,45.5009327,9.26435315,"(45.5009327, 9.26435315)"
MI,MIEE8FN018,Istituto Istruzione Primario,Primaria - A.Frank,Via Chiminello,2,,H264,RHO,20017,067,,Ordinaria,SI,MIIC8FN006,MIIC8FN006,Anna Frank,"Via Chiminello, 2",H264,RHO,20017,067,Statale,1039,321,5,Primo ciclo,Istituto Comprensivo,,Non montano,029311815,029310976,029311815,ananfrank@tiscali.it,annafrank@tiscalinet.it,,miee376009@pec.istruzione.it,15182,45.53718336,9.03870654,"(45.53718336, 9.03870654)"
MI,MIEE8F302N,Istituto Istruzione Primario,Primaria - Villaggio Ambrosiano,Via Trieste,,,G220,PADERNO DUGNANO,20037,065,,Ordinaria,NO,MIIC8F300E,MIIC8F300E,De Marchi,"Via IV Novembre, 49",G220,PADERNO DUGNANO,20037,065,Statale,1161,202,5,Primo ciclo,Istituto Comprensivo,,Non montano,029181747,0299045135,,miic8f300e@istruzione.it,,miic8f300e@pec.istruzione.it,miee135009@pec.istruzione.it,15166,45.56242193,9.15844001,"(45.56242193, 9.15844001)"
MI,MIMM8FL01G,Istituto Istruzione Secondario Primo grado,Secondaria Primo Grado - Curiel,Via Fratelli Imbriani,,,D018,CORNAREDO,20010,067,,Ordinaria,NO,MIIC8FL00E,MIIC8FL00E,"IC di Cornaredo, Via IV Novembre","Via IV Novembre, 3",D018,CORNAREDO,20010,067,Statale,1103,344,5,Primo ciclo,Istituto Comprensivo,,Non montano,0293560262,0293566907,0293565170,miee11700q@istruzione.it,smscurielmuratori_c@libero.it,,mimm645007@pec.istruzione.it,15087,45.50101427,9.02994123,"(45.50101427, 9.02994123)"
MI,MIPM070008-LU,Istituto Istruzione Secondario Secondo grado,L. Scienze Umane - Erasmo Da Rotterdam,Viale Italia,409,SESTO S. GIOVANNI,I690,SESTO SAN GIOVANNI,20099,064,022428129,Ordinaria,SI,MIPM070008,MIPM070008,Erasmo da Rotterdam,"Viale Italia, 409",I690,SESTO SAN GIOVANNI,20099,064,Statale,862,862,1,Secondo ciclo,Liceo,Liceo,Non montano,022428129,0226224369,0226224369,mipm070008@istruzione.it,mipm070008@istruzione.it,mipm070008@pec.istruzione.it,mipm070008@pec.istruzione.it,15209,45.53183714,9.24016989,"(45.53183714, 9.24016989)"
MI,MIRC02801A,Istituto Istruzione Secondario Secondo grado,I.P. Servizi - E. Montale,Via Gorki,100,-,C707,CINISELLO BALSAMO,20092,065,00026122340,Ordinaria,SI,MIIS02800B,MIIS02800B,E. Montale,"Via Gorki, 100",C707,CINISELLO BALSAMO,20092,065,Statale,1268,487,3,Secondo ciclo,Istituto di Istruzione Superiore,Istituto Professionale,Non montano,026122340,026122350,,miis02800b@istruzione.it,,miis02800b@pec.istruzione.it,miis02800b@pec.istruzione.it,15077,45.53971239,9.21853835,"(45.53971239, 9.21853835)"
MI,MIEE8FF036,Istituto Istruzione Primario,Primaria - Casati,Via Buozzi,17,,H264,RHO,20017,067,,Ordinaria,NO,MIIC8FF002,MIIC8FF002,Tommaso Grossi,"Via Tommaso Grossi, 35",H264,RHO,20017,067,Statale,911,99,5,Primo ciclo,Istituto Comprensivo,,Non montano,0293903288,0293469420,,miee158057@istruzione.it,,,miee376009@pec.istruzione.it,15182,45.54955509,9.04381123,"(45.54955509, 9.04381123)"
MI,MITD03701C-IP,Istituto Istruzione Secondario Secondo grado,I.P. Servizi - Piero Della Francesca,Via Martiri di Cefalonia,46,SAN DONATO MILANESE,H827,SAN DONATO MILANESE,20097,057,00025569131,Ordinaria,SI,MIIS037006,MIIS037006,Piero Della Francesca,"Via Martiri di Cefalonia, 46",H827,SAN DONATO MILANESE,20097,057,Statale,770,0,2,Secondo ciclo,Istituto di Istruzione Superiore,Istituto Professionale,Non montano,0255691311,0255600411,,miis037006@istruzione.it,,miis037006@pec.istruzione.it,miis037006@pec.istruzione.it,15192,45.41888453,9.27273498,"(45.41888453, 9.27273498)"
MI,MIEE8D702Q,Istituto Istruzione Primario,Primaria - Paderno D. III,Via San Michele del Carso,,,G220,PADERNO DUGNANO,20037,065,,Ordinaria,NO,MIIC8D700L,MIIC8D700L,Allende,"Via Italia, 13",G220,PADERNO DUGNANO,20037,065,Statale,1234,304,5,Primo ciclo,Istituto Comprensivo,,Non montano,029183220,029181021,,MIIC8D700L@istruzione.it,,miic8d700l@pec.istruzione.it,miee277008@pec.istruzione.it,15166,45.57385006,9.16357948,"(45.57385006, 9.16357948)"
